,Year,Month,Country,Area,Type,Activity,Sex,Age,Fatal,Injury,Species,Size (min),Size (max)
0,2018,Jun,USA,California,Boating,Paddling,F,57.0,N,Minor,White,,
1,2018,Jun,USA,Georgia,Unprovoked,Standing,F,11.0,N,Minor,,,
2,2018,Jun,USA,Hawaii,Invalid,Surfing,M,48.0,N,Minor,,,
3,2018,Jun,AUSTRALIA,New South Wales,Unprovoked,Surfing,M,,N,Minor,,200.0,200.0
4,2018,Jun,MEXICO,Colima,Provoked,Free diving,M,,N,Moderate,,300.0,300.0
5,2018,Jun,AUSTRALIA,New South Wales,Unprovoked,Kite surfing,M,,N,Minor,,,
6,2018,Jun,BRAZIL,Pernambuco,Unprovoked,Swimming,M,18.0,Y,Fatal,Tiger,,
7,2018,May,USA,Florida,Unprovoked,Fishing,M,52.0,N,Minor,,91.0,91.0
8,2018,May,USA,Florida,Unprovoked,Walking,M,15.0,N,Minor,,183.0,183.0
9,2018,May,USA,Florida,Unprovoked,Standing,M,12.0,N,Minor,,,
10,2018,May,AUSTRALIA,Queensland,Provoked,Feeding sharks,M,32.0,N,Minor,,,
11,2018,May,USA,South Carolina,Unprovoked,Boogie boarding,M,10.0,N,Moderate,,,
12,2018,May,USA,South Carolina,Unprovoked,Swimming,M,10.0,N,Major,,,
13,2018,May,ENGLAND,Cornwall,Invalid,Fishing,M,21.0,N,,,,
14,2018,May,AUSTRALIA,Westerm Australia,Provoked,Feeding sharks,F,34.0,N,Moderate,,200.0,200.0
15,2018,May,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Surfing,M,,N,Minor,,,
16,2018,May,AUSTRALIA,New South Wales,Questionable,Surfing,M,,N,Minor,,,
17,2018,Apr,THAILAND,Hua Hin,Unprovoked,Swimming,M,,N,Minor,,,
18,2018,Apr,COSTA RICA,Cocos Island,Unprovoked,Scuba diving,M,30.0,N,Minor,Tiger,,
19,2018,Apr,AUSTRALIA,Western Australia,Unprovoked,Surfing,M,,N,Minor,,,
20,2018,Apr,AUSTRALIA,New South Wales,Questionable,Surfing,M,,N,Minor,,,
21,2018,Apr,AUSTRALIA,Western Australia,Unprovoked,Surfing,M,60.0,N,Minor,,300.0,300.0
22,2018,Apr,AUSTRALIA,Western Australia,Unprovoked,Surfing,M,,N,Minor,,350.0,350.0
23,2018,Apr,MALDIVES,Alifu Alifu Atoll,Unprovoked,Fishing,M,32.0,N,Minor,Tiger,,
24,2018,Apr,SOUTH AFRICA,Western Cape Province,Unprovoked,Paddle-skiing,M,33.0,N,Minor,,250.0,250.0
25,2018,Apr,USA,Hawaii,Unprovoked,Body boarding,M,29.0,N,Moderate,,183.0,183.0
26,2018,Apr,THAILAND,Hua Hin,Unprovoked,Swimming,M,54.0,N,Moderate,,,
27,2018,Apr,BRAZIL,Pernambuco,Unprovoked,Swimming,M,34.0,,Major,,,
28,2018,Apr,AUSTRALIA,Western Australia,Unprovoked,Surfing,M,41.0,N,Moderate,,,
29,2018,Apr,AUSTRALIA,Western Australia,Unprovoked,Surfing,M,37.0,N,Moderate,,,
30,2018,Apr,BAHAMAS,New Providence,Unprovoked,Surfing,M,,N,Minor,Tiger,,
31,2018,Apr,BRAZIL,Alagoas,Invalid,Fishing,M,56.0,N,Minor,,,
32,2018,Apr,NEW CALEDONIA,,Unprovoked,Windsurfing,,,N,Minor,,200.0,200.0
