,Year,Country,Activity,Age,Species ,Sex,Species
0,2018,USA,Paddling,57,White shark,F,White shark
6,2018,BRAZIL,Swimming,18,Tiger shark,M,Tiger shark
7,2018,USA,Fishing,52,"Lemon shark, 3'",M,"Lemon shark, 3'"
8,2018,USA,Walking,15,"Bull shark, 6'",M,"Bull shark, 6'"
10,2018,AUSTRALIA,Feeding sharks,32,Grey reef shark,M,Grey reef shark
13,2018,ENGLAND,Fishing,21,Invalid incident,M,Invalid incident
14,2018,AUSTRALIA,Feeding sharks,34,"Tawny nurse shark, 2m",F,"Tawny nurse shark, 2m"
18,2018,COSTA RICA,Scuba diving,30,Tiger shark,M,Tiger shark
21,2018,AUSTRALIA,Surfing,60,3 m shark,M,3 m shark
23,2018,MALDIVES,Fishing,32,Tiger shark,M,Tiger shark
24,2018,SOUTH AFRICA,Paddle-skiing,33,"White shark, 2.5 m",M,"White shark, 2.5 m"
25,2018,USA,Body boarding,29,6' shark,M,6' shark
26,2018,THAILAND,Swimming,54,Juvenile bull shark,M,Juvenile bull shark
31,2018,BRAZIL,Fishing,56,Shark involvement not confirmed,M,Shark involvement not confirmed
33,2018,BAHAMAS,Swimming,12,Bull shark,M,Bull shark
34,2018,SOUTH AFRICA,Surfing,19,White shark,M,White shark
35,2018,USA,Stand-Up Paddleboarding,25,"Tiger shark, 12'",M,"Tiger shark, 12'"
36,2018,AUSTRALIA,Wading,10,Wobbegong shark,M,Wobbegong shark
37,2018,AUSTRALIA,Swimming,69,3.5 m shark,M,3.5 m shark
38,2018,AUSTRALIA,Surfing,18,1.8 m shark,M,1.8 m shark
39,2018,SOUTH AFRICA,Scuba Diving,38,Blacktip shark,M,Blacktip shark
40,2018,AUSTRALIA,Swimming,55,"Juvenile white shark,  2.7 to 3.2 m",F,"Juvenile white shark,  2.7 to 3.2 m"
42,2018,AUSTRALIA,Walking,35,"Bull shark, 2 m",M,"Bull shark, 2 m"
44,2018,BRAZIL,Cleaning fish,46,"Injury believed caused by an eel, not a shark",F,"Injury believed caused by an eel, not a shark"
45,2018,ECUADOR,Snorkeling,45,Galapagos shark?,M,Galapagos shark?
46,2018,AUSTRALIA,Spearfishing,14,2m shark,M,2m shark
50,2018,AUSTRALIA,Free diving,28,"White shark, 3.5 m",M,"White shark, 3.5 m"
51,2018,BRAZIL,Surfing,20,small shark,M,small shark
53,2017,USA,Surfing,54,Tiger shark,F,Tiger shark
55,2017,MALAYSIA,Fishing / Wading,24,Juvenile nurse shark,M,Juvenile nurse shark
56,2017,BAHAMAS,Snorkeling,25,Nurse shark. 5',F,Nurse shark. 5'
57,2017,COSTA RICA,Scuba Diving,26,"Tiger shark, female",M,"Tiger shark, female"
58,2017,COSTA RICA,Scuba diving,49,"Tiger shark, female",F,"Tiger shark, female"
60,2017,USA,Spearfishing,25,"White shark, 4.6 m",M,"White shark, 4.6 m"
63,2017,AUSTRALIA,Surfing,25,2 m shark,M,2 m shark
64,2017,CUBA,Night bathing,22,Tiger shark,M,Tiger shark
65,2017,AUSTRALIA,Snorkeling,7,Cookiecutter shark,M,Cookiecutter shark
66,2017,AUSTRALIA,Surfing,31,"Wobbegong shark, 1 m",M,"Wobbegong shark, 1 m"
71,2017,AUSTRALIA,Kayaking / Fishing,15,"White shark, 4.5 m",F,"White shark, 4.5 m"
